index,salle,identifiant,type_tresor,type_tresor_brut,type_item,item_brut,id_item,nom_item,montant,max_hits,quantity,x,y,z,exploitable
60,21,265,bloc ?,1,pieces,0xFFFC,,pieces,50,1,3,440,556,104,1
61,21,642,bloc brique,4,consommable,0x2004,4,Hot Drumstick,1,1,0,232,248,0,1
62,22,477,haricot,0,consommable,0x2014,20,Heart Bean,0,0,0,72,344,0,1
63,22,478,haricot,0,consommable,0x2014,20,Heart Bean,1,1,0,520,112,80,1
64,22,479,haricot,0,consommable,0x2015,21,Special Bean,2,2,0,696,112,40,1
65,23,29,bloc ?,1,pieces,0xFFFC,,pieces,50,1,3,96,336,160,1
66,23,30,bloc ?,1,pieces,0xFFFE,,pieces,5,1,1,936,256,96,1
67,23,32,bloc ?,1,consommable,0x2008,8,Super Nut,1,1,0,872,256,96,1
68,24,304,bloc ?,1,consommable,0x200F,15,Star Candy,1,1,0,176,844,608,1
69,24,305,bloc ?,1,pieces,0xFFFC,,pieces,50,1,3,432,906,216,1
70,24,351,haricot,0,consommable,0x2016,22,Power Bean,0,0,0,32,824,0,1
71,25,306,bloc ?,1,equipement,0x402A,42,Flower Gloves,1,1,0,280,490,176,1
72,25,307,haricot,0,consommable,0x2015,21,Special Bean,0,0,0,384,496,0,1
73,26,302,bloc ?,1,pieces,0xFFFC,,pieces,250,5,3,672,896,328,1
74,27,303,bloc ?,1,equipement,0x4026,38,Mushroom Gloves,1,1,0,288,234,64,1
75,28,746,bloc ?,1,consommable,0x200F,15,Star Candy,1,1,0,880,472,352,1
76,29,76,bloc brique,4,consommable,0x2004,4,Hot Drumstick,2,1,1,86,216,0,1
77,29,77,bloc brique,4,pieces,0xFFFC,,pieces,50,1,3,86,480,0,1
78,30,67,bloc ?,1,pieces,0xFFFB,,pieces,100,1,4,160,408,168,1
79,30,70,touffe d'herbe,5,pieces,0xFFFF,,pieces,1,1,0,280,430,0,1
80,30,598,touffe d'herbe,5,pieces,0xFFFD,,pieces,10,1,2,336,430,0,1
81,30,599,haricot,0,consommable,0x2014,20,Heart Bean,4,4,0,136,431,104,1
82,31,39,bloc brique,4,pieces,0xFFFC,,pieces,50,1,3,704,144,0,1
83,31,283,haricot,0,consommable,0x2016,22,Power Bean,0,0,0,640,328,0,1
84,31,667,touffe d'herbe,5,pieces,0xFFFF,,pieces,1,1,0,552,208,0,1
85,31,700,touffe d'herbe,5,vide,0x0000,,,,1,0,584,168,0,0
86,31,702,touffe d'herbe,5,pieces,0xFFFF,,pieces,1,1,0,676,184,0,1
87,31,703,touffe d'herbe,5,vide,0x0000,,,,1,0,704,216,0,0
88,32,0,touffe d'herbe,5,vide,0x0000,,,,1,0,400,224,0,0
89,32,0,touffe d'herbe,5,vide,0x0000,,,,1,0,312,208,0,0
90,32,0,touffe d'herbe,5,vide,0x0000,,,,1,0,336,232,0,0
91,32,601,haricot,0,consommable,0x2014,20,Heart Bean,1,1,0,456,280,64,1
92,33,339,haricot,0,consommable,0x2015,21,Special Bean,0,0,0,280,144,40,1
93,33,620,bloc ?,1,pieces,0xFFFB,,pieces,100,1,4,596,216,104,1
94,33,661,touffe d'herbe,5,vide,0x0000,,,,1,0,104,424,40,0
95,33,662,touffe d'herbe,5,pieces,0xFFFF,,pieces,1,1,0,144,412,40,1
96,33,663,touffe d'herbe,5,pieces,0xFFFF,,pieces,1,1,0,96,384,40,1
97,34,606,touffe d'herbe,5,pieces,0xFFFE,,pieces,5,1,1,296,216,0,1
98,34,78,bloc brique,4,consommable,0x2017,23,Retry Clock,1,1,0,112,380,0,1
99,35,650,touffe d'herbe,5,pieces,0xFFFF,,pieces,1,1,0,728,248,0,1
100,35,652,touffe d'herbe,5,vide,0x0000,,,,1,0,712,304,0,0
101,35,653,touffe d'herbe,5,vide,0x0000,,,,1,0,752,344,0,0
102,35,655,touffe d'herbe,5,pieces,0xFFFF,,pieces,1,1,0,784,336,0,1
103,36,73,touffe d'herbe,5,pieces,0xFFFD,,pieces,10,1,2,350,192,64,1
104,37,617,bloc ?,1,consommable,0x2003,3,Max Mushroom,1,1,0,168,424,104,1
105,37,618,bloc ?,1,pieces,0xFFFC,,pieces,250,5,3,449,192,104,1
106,37,0,touffe d'herbe,5,vide,0x0000,,,,1,0,224,144,40,0
107,37,0,touffe d'herbe,5,vide,0x0000,,,,1,0,196,204,40,0
108,37,0,touffe d'herbe,5,vide,0x0000,,,,1,0,68,294,40,0
109,37,0,touffe d'herbe,5,vide,0x0000,,,,1,0,216,256,40,0
110,38,74,touffe d'herbe,5,pieces,0xFFFD,,pieces,10,1,2,340,300,0,1
111,38,79,bloc brique,4,equipement,0x407F,127,Hard Ring,1,1,0,584,304,0,1
112,38,80,bloc brique,4,consommable,0x200B,11,Syrup Jar,1,1,0,122,187,0,1
113,38,644,touffe d'herbe,5,pieces,0xFFFF,,pieces,1,1,0,320,128,0,1
114,38,648,touffe d'herbe,5,pieces,0xFFFF,,pieces,1,1,0,256,328,0,1
115,39,285,haricot,0,consommable,0x2014,20,Heart Bean,0,0,0,648,488,0,1
116,40,43,bloc ?,1,pieces,0xFFFE,,pieces,50,10,1,360,416,160,1
117,40,44,bloc ?,1,consommable,0x200A,10,Max Nut,1,1,0,328,264,136,1
118,40,45,bloc ?,1,pieces,0xFFFB,,pieces,100,1,4,400,264,136,1
119,40,299,haricot,0,consommable,0x2014,20,Heart Bean,0,0,0,433,410,48,1
120,41,75,touffe d'herbe,5,pieces,0xFFFD,,pieces,10,1,2,82,300,0,1
121,41,286,haricot,0,consommable,0x2015,21,Special Bean,14,14,0,664,104,0,1
122,42,46,bloc ?,1,pieces,0xFFFB,,pieces,100,1,4,352,232,168,1
123,42,0,touffe d'herbe,5,vide,0x0000,,,,1,0,680,128,0,0
124,42,0,touffe d'herbe,5,vide,0x0000,,,,1,0,488,240,0,0
125,42,0,touffe d'herbe,5,vide,0x0000,,,,1,0,528,264,0,0
126,43,83,haricot,0,consommable,0x2014,20,Heart Bean,0,0,0,488,360,0,1
127,43,0,touffe d'herbe,5,vide,0x0000,,,,1,0,464,128,0,0
128,44,41,bloc brique,4,consommable,0x2017,23,Retry Clock,1,1,0,354,506,0,1
129,45,300,haricot,0,consommable,0x2016,22,Power Bean,1,1,0,208,160,72,1
130,45,301,haricot,0,consommable,0x2015,21,Special Bean,2,2,0,360,192,72,1
131,46,288,haricot,0,consommable,0x2016,22,Power Bean,0,0,0,224,89,0,1
132,47,289,haricot,0,consommable,0x2014,20,Heart Bean,0,0,0,168,352,0,1
133,48,290,haricot,0,consommable,0x2015,21,Special Bean,0,0,0,152,256,0,1
134,49,291,haricot,0,consommable,0x2014,20,Heart Bean,0,0,0,240,280,48,1
135,49,0,touffe d'herbe,5,vide,0x0000,,,,1,0,96,320,0,0
136,49,0,touffe d'herbe,5,vide,0x0000,,,,1,0,120,356,0,0
137,49,0,touffe d'herbe,5,vide,0x0000,,,,1,0,176,344,0,0
138,49,0,touffe d'herbe,5,vide,0x0000,,,,1,0,136,304,0,0
139,50,727,touffe d'herbe,5,vide,0x0000,,,,0,0,852,277,0,0
140,50,728,touffe d'herbe,5,vide,0x0000,,,,0,0,900,294,0,0
141,50,729,touffe d'herbe,5,vide,0x0000,,,,0,0,959,286,0,0
142,50,730,touffe d'herbe,5,vide,0x0000,,,,0,0,910,335,0,0
143,50,731,touffe d'herbe,5,vide,0x0000,,,,0,0,991,349,0,0
144,50,732,touffe d'herbe,5,vide,0x0000,,,,0,0,942,360,0,0
145,50,733,touffe d'herbe,5,vide,0x0000,,,,0,0,864,346,0,0
146,51,292,haricot,0,consommable,0x2014,20,Heart Bean,2,2,0,104,304,0,1
147,52,293,haricot,0,consommable,0x2015,21,Special Bean,2,2,0,480,160,0,1
148,52,150,bloc ?,1,consommable,0x2011,17,1-Up Deluxe,1,1,0,396,176,120,1
149,53,294,haricot,0,consommable,0x2014,20,Heart Bean,0,0,0,216,104,0,1
150,53,726,bloc ?,1,consommable,0x2011,17,1-Up Deluxe,1,1,0,565,328,160,1
151,54,295,haricot,0,consommable,0x2016,22,Power Bean,0,0,0,280,216,0,1
152,54,615,bloc ?,1,consommable,0x2011,17,1-Up Deluxe,1,1,0,196,344,64,1
153,54,616,bloc ?,1,consommable,0x200F,15,Star Candy,1,1,0,352,344,64,1
154,55,296,haricot,0,consommable,0x2014,20,Heart Bean,0,0,0,200,152,0,1
155,55,619,bloc ?,1,equipement,0x4015,21,DX SP Socks,1,1,0,160,128,64,1
156,56,297,haricot,0,consommable,0x2015,21,Special Bean,0,0,0,440,88,0,1
157,56,71,bloc brique,4,pieces,0xFFFD,,pieces,10,1,2,440,214,0,1
158,57,0,touffe d'herbe,5,vide,0x0000,,,,1,0,136,184,0,0
159,57,0,touffe d'herbe,5,vide,0x0000,,,,1,0,136,304,0,0
160,57,0,touffe d'herbe,5,vide,0x0000,,,,1,0,156,320,0,0
161,58,298,haricot,0,consommable,0x2014,20,Heart Bean,0,0,0,240,320,112,1
162,59,325,haricot,0,consommable,0x2014,20,Heart Bean,0,0,0,296,176,104,1
163,59,326,haricot,0,consommable,0x2015,21,Special Bean,1,1,0,86,320,32,1
164,60,82,haricot,0,consommable,0x2014,20,Heart Bean,12,12,0,80,304,0,1
165,61,340,haricot,0,consommable,0x2014,20,Heart Bean,0,0,0,688,208,24,1
166,62,341,haricot,0,consommable,0x2014,20,Heart Bean,1,1,0,160,368,48,1
167,62,724,haricot,0,consommable,0x2014,20,Heart Bean,0,0,0,176,176,48,1
168,63,40,bloc ?,1,consommable,0x2017,23,Retry Clock,1,1,0,64,232,168,1
169,64,343,haricot,0,consommable,0x2014,20,Heart Bean,0,0,0,72,352,40,1
170,64,725,haricot,0,consommable,0x2014,20,Heart Bean,1,1,0,744,312,40,1
171,65,47,bloc ?,1,consommable,0x2017,23,Retry Clock,1,1,0,88,560,496,1
172,66,48,bloc ?,1,pieces,0xFFFE,,pieces,5,1,1,304,272,144,1
173,66,49,bloc ?,1,consommable,0x2001,1,Super Mushroom,1,1,0,800,272,144,1
174,67,50,bloc ?,1,consommable,0x2001,1,Super Mushroom,1,1,0,156,336,224,1
175,67,51,bloc ?,1,pieces,0xFFFE,,pieces,5,1,1,348,336,224,1
176,68,52,bloc ?,1,consommable,0x200C,12,Supersyrup Jar,1,1,0,348,336,224,1
177,68,200,bloc ?,1,pieces,0xFFFD,,pieces,10,1,2,156,336,224,1
178,69,53,bloc ?,1,consommable,0x2008,8,Super Nut,1,1,0,312,336,224,1
179,69,54,bloc ?,1,equipement,0x4030,48,POW Boots,1,1,0,408,336,224,1
180,69,55,bloc ?,1,pieces,0xFFFD,,pieces,10,1,2,584,336,248,1
181,70,56,bloc ?,1,pieces,0xFFFC,,pieces,50,1,3,314,256,216,1
182,70,57,bloc ?,1,consommable,0x200B,11,Syrup Jar,1,1,0,484,256,216,1
183,71,58,bloc ?,1,consommable,0x2010,16,1-Up Mushroom,1,1,0,776,344,224,1
184,71,59,bloc ?,1,pieces,0xFFFE,,pieces,5,1,1,868,344,192,1
185,72,60,bloc ?,1,pieces,0xFFFD,,pieces,10,1,2,320,320,192,1
186,72,61,bloc ?,1,consommable,0x200C,12,Supersyrup Jar,1,1,0,524,320,80,1
187,72,62,bloc ?,1,pieces,0xFFFE,,pieces,25,5,1,740,320,80,1
188,73,63,bloc ?,1,consommable,0x2001,1,Super Mushroom,2,1,1,360,368,120,1
189,73,201,bloc ?,1,consommable,0x200C,12,Supersyrup Jar,1,1,0,200,368,120,1
190,74,64,bloc ?,1,pieces,0xFFFB,,pieces,100,1,4,308,352,248,1
191,75,202,bloc ?,1,consommable,0x2009,9,Ultra Nut,1,1,0,96,176,80,1
192,75,203,bloc ?,1,equipement,0x401D,29,EXP Socks,1,1,0,168,176,80,1
193,76,84,haricot,0,consommable,0x2014,20,Heart Bean,0,0,0,416,664,0,1
194,76,706,touffe d'herbe,5,pieces,0xFFFF,,pieces,1,1,0,296,200,32,1
195,76,707,touffe d'herbe,5,vide,0x0000,,,,1,0,344,176,32,0
196,76,708,touffe d'herbe,5,pieces,0xFFFF,,pieces,1,1,0,384,200,32,1
197,76,709,touffe d'herbe,5,pieces,0xFFFE,,pieces,5,1,1,432,192,32,1
198,76,0,touffe d'herbe,5,vide,0x0000,,,,1,0,400,384,0,0
199,76,0,touffe d'herbe,5,vide,0x0000,,,,1,0,424,360,0,0
200,77,86,bloc ?,1,pieces,0xFFFB,,pieces,100,1,4,368,307,176,1
201,77,87,bloc ?,1,pieces,0xFFFC,,pieces,250,5,3,808,112,64,1
202,78,91,bloc brique,4,pieces,0xFFFC,,pieces,50,1,3,426,170,64,1
203,78,92,bloc brique,4,equipement,0x407E,126,Safety Ring,1,1,0,607,560,0,1
204,78,481,haricot,0,consommable,0x2014,20,Heart Bean,0,0,0,56,184,64,1
205,78,711,touffe d'herbe,5,pieces,0xFFFE,,pieces,5,1,1,216,536,32,1
206,78,712,touffe d'herbe,5,vide,0x0000,,,,1,0,320,488,32,0
207,78,713,touffe d'herbe,5,vide,0x0000,,,,1,0,392,328,32,0
208,78,714,touffe d'herbe,5,pieces,0xFFFF,,pieces,1,1,0,560,330,32,1
209,79,93,bloc brique,4,equipement,0x405F,95,Minion Band,1,1,0,448,348,64,1
210,79,482,haricot,0,consommable,0x2014,20,Heart Bean,0,0,0,480,392,0,1
211,80,94,bloc brique,4,consommable,0x200F,15,Star Candy,1,1,0,472,228,0,1
212,80,483,haricot,0,consommable,0x2016,22,Power Bean,0,0,0,80,184,72,1
213,80,747,bloc ?,1,equipement,0x4043,67,Heroic Patch,1,1,0,242,199,136,1
214,81,720,touffe d'herbe,5,vide,0x0000,,,,1,0,640,184,40,0
215,81,721,touffe d'herbe,5,vide,0x0000,,,,1,0,672,196,40,0
216,81,722,touffe d'herbe,5,pieces,0xFFFD,,pieces,10,1,2,704,412,40,1
217,81,723,touffe d'herbe,5,vide,0x0000,,,,1,0,720,448,40,0
218,82,484,haricot,0,consommable,0x2014,20,Heart Bean,0,0,0,408,328,0,1
219,82,81,bloc brique,4,pieces,0xFFFD,,pieces,10,1,2,408,176,96,1
220,83,743,haricot,0,consommable,0x2015,21,Special Bean,1,1,0,152,284,104,1
221,84,474,haricot,0,consommable,0x2015,21,Special Bean,0,0,0,452,740,0,1
222,84,475,haricot,0,consommable,0x2014,20,Heart Bean,1,1,0,580,740,0,1
223,84,591,bloc ?,1,consommable,0x200A,10,Max Nut,1,1,0,64,720,152,1
224,85,95,bloc brique,4,equipement,0x405D,93,Power Band,1,1,0,924,382,32,1
225,86,480,haricot,0,consommable,0x2016,22,Power Bean,0,0,0,72,129,32,1
226,87,66,bloc ?,1,equipement,0x404C,76,POW Mush Jam,1,1,0,176,160,32,1
227,87,607,haricot,0,consommable,0x2016,22,Power Bean,0,0,0,586,160,64,1
228,88,486,haricot,0,consommable,0x2014,20,Heart Bean,0,0,0,72,232,0,1
229,88,487,haricot,0,consommable,0x2014,20,Heart Bean,1,1,0,688,280,0,1
230,89,609,haricot,0,consommable,0x2016,22,Power Bean,0,0,0,400,200,24,1
231,90,96,bloc ?,1,equipement,0x402B,43,Bye-Bye Gloves,1,1,0,192,128,96,1
232,91,336,bloc ?,1,consommable,0x200A,10,Max Nut,1,1,0,36,108,48,1
233,91,337,bloc ?,1,pieces,0xFFFB,,pieces,300,3,4,250,205,88,1
234,91,338,bloc ?,1,equipement,0x4046,70,Giant Shell,1,1,0,424,250,88,1
235,92,476,haricot,0,consommable,0x2015,21,Special Bean,0,0,0,32,344,0,1
236,92,612,bloc ?,1,equipement,0x402B,43,Bye-Bye Gloves,1,1,0,48,200,160,1
237,93,370,haricot,0,consommable,0x2014,20,Heart Bean,1,1,0,320,513,0,1
238,93,371,haricot,0,consommable,0x2014,20,Heart Bean,2,2,0,176,354,0,1
239,93,372,haricot,0,consommable,0x2015,21,Special Bean,3,3,0,224,272,0,1
240,93,373,haricot,0,consommable,0x2014,20,Heart Bean,4,4,0,448,233,0,1
241,93,374,haricot,0,consommable,0x2014,20,Heart Bean,5,5,0,688,513,0,1
242,94,379,haricot,0,consommable,0x2015,21,Special Bean,1,1,0,144,313,0,1
243,94,380,haricot,0,consommable,0x2014,20,Heart Bean,2,2,0,480,473,0,1
244,95,375,haricot,0,consommable,0x2014,20,Heart Bean,0,0,0,96,488,0,1
245,95,376,haricot,0,consommable,0x2014,20,Heart Bean,1,1,0,432,240,0,1
246,96,125,bloc brique,4,consommable,0x2005,5,Fiery Drumstick,2,1,1,121,400,0,1
247,96,98,bloc brique,4,consommable,0x200C,12,Supersyrup Jar,1,1,0,647,352,0,1
248,96,377,haricot,0,consommable,0x2015,21,Special Bean,0,0,0,40,145,0,1
249,96,378,haricot,0,consommable,0x2014,20,Heart Bean,1,1,0,136,385,0,1
250,96,383,haricot,0,consommable,0x2014,20,Heart Bean,2,2,0,536,337,0,1
251,97,266,haricot,0,consommable,0x2014,20,Heart Bean,2,2,0,56,545,0,1
252,97,267,haricot,0,consommable,0x2014,20,Heart Bean,3,3,0,104,545,0,1
253,97,268,haricot,0,consommable,0x2015,21,Special Bean,4,4,0,152,545,0,1
254,97,269,haricot,0,consommable,0x2014,20,Heart Bean,5,5,0,56,585,0,1
255,97,270,haricot,0,consommable,0x2014,20,Heart Bean,6,6,0,104,585,0,1
256,97,271,haricot,0,consommable,0x2015,21,Special Bean,7,7,0,152,585,0,1
257,97,272,haricot,0,consommable,0x2014,20,Heart Bean,8,8,0,248,705,0,1
258,97,273,haricot,0,consommable,0x2014,20,Heart Bean,9,9,0,440,865,0,1
259,98,384,haricot,0,consommable,0x2015,21,Special Bean,0,0,0,264,241,0,1
260,98,385,haricot,0,consommable,0x2014,20,Heart Bean,1,1,0,360,161,0,1
261,99,386,haricot,0,consommable,0x2014,20,Heart Bean,0,0,0,96,208,0,1
262,99,387,haricot,0,consommable,0x2015,21,Special Bean,1,1,0,696,232,0,1
263,99,388,haricot,0,consommable,0x2014,20,Heart Bean,2,2,0,400,464,0,1
264,99,389,haricot,0,consommable,0x2014,20,Heart Bean,3,3,0,376,792,0,1
265,100,97,bloc brique,4,consommable,0x200C,12,Supersyrup Jar,1,1,0,72,328,96,1
266,100,352,bloc brique,4,consommable,0x2006,6,TNT Drumstick,1,1,0,72,400,96,1
267,101,488,bloc brique,4,consommable,0x2017,23,Retry Clock,1,1,0,427,102,0,1
268,102,353,bloc brique,4,equipement,0x406D,109,Burning Fangs,1,1,0,97,336,0,1
269,103,354,bloc brique,4,consommable,0x200F,15,Star Candy,1,1,0,97,336,0,1
270,104,489,bloc brique,4,pieces,0xFFFC,,pieces,50,1,3,127,268,0,1
271,104,490,bloc brique,4,equipement,0x4072,114,Flashy Fangs,1,1,0,641,268,0,1
272,105,369,bloc brique,4,pieces,0xFFFD,,pieces,10,1,2,241,184,48,1
273,106,344,haricot,0,consommable,0x2016,22,Power Bean,10,10,0,528,721,0,1
274,106,355,bloc brique,4,pieces,0xFFFB,,pieces,100,1,4,81,732,352,1
275,107,345,haricot,0,consommable,0x2014,20,Heart Bean,0,0,0,336,210,24,1
276,107,346,haricot,0,consommable,0x2014,20,Heart Bean,1,1,0,560,234,72,1
277,107,347,haricot,0,consommable,0x2015,21,Special Bean,2,2,0,624,402,24,1
278,107,356,bloc brique,4,consommable,0x200C,12,Supersyrup Jar,1,1,0,80,632,24,1
279,107,357,bloc brique,4,pieces,0xFFFD,,pieces,10,1,2,80,568,24,1
280,108,381,haricot,0,consommable,0x2014,20,Heart Bean,0,0,0,64,218,24,1
281,108,382,haricot,0,consommable,0x2016,22,Power Bean,1,1,0,224,283,24,1
282,109,358,bloc brique,4,consommable,0x2006,6,TNT Drumstick,1,1,0,112,488,24,1
283,109,89,bloc ?,1,pieces,0xFFFC,,pieces,50,1,3,484,424,112,1
284,110,359,bloc brique,4,consommable,0x200C,12,Supersyrup Jar,1,1,0,96,96,24,1
285,110,360,bloc brique,4,pieces,0xFFFC,,pieces,50,1,3,96,160,24,1
286,110,390,bloc ?,1,pieces,0xFFFC,,pieces,50,1,3,716,496,120,1
287,110,88,bloc ?,1,pieces,0xFFFB,,pieces,100,1,4,272,520,104,1
288,111,608,haricot,0,consommable,0x2016,22,Power Bean,0,0,0,40,152,0,1
289,111,613,haricot,0,consommable,0x2016,22,Power Bean,1,1,0,456,472,0,1
290,112,361,bloc brique,4,pieces,0xFFFD,,pieces,10,1,2,234,176,32,1
291,112,362,bloc brique,4,pieces,0xFFFC,,pieces,50,1,3,234,240,32,1
292,112,605,haricot,0,consommable,0x2016,22,Power Bean,0,0,0,94,240,56,1
293,113,348,haricot,0,consommable,0x2015,21,Special Bean,0,0,0,120,146,0,1
294,113,349,haricot,0,consommable,0x2014,20,Heart Bean,1,1,0,344,338,0,1
295,113,350,haricot,0,consommable,0x2016,22,Power Bean,2,2,0,760,146,0,1
296,113,363,bloc brique,4,consommable,0x200C,12,Supersyrup Jar,1,1,0,393,128,0,1
297,113,739,bloc brique,4,pieces,0xFFFD,,pieces,10,1,2,796,344,0,1
298,113,740,bloc brique,4,pieces,0xFFFD,,pieces,10,1,2,870,108,0,1
299,114,365,bloc brique,4,consommable,0x2006,6,TNT Drumstick,1,1,0,444,904,492,1
300,114,366,bloc brique,4,pieces,0xFFFC,,pieces,50,1,3,63,880,268,1
301,114,367,bloc brique,4,pieces,0xFFFB,,pieces,100,1,4,63,880,492,1
302,115,368,bloc brique,4,pieces,0xFFFB,,pieces,100,1,4,193,160,0,1
303,116,277,bloc ?,1,consommable,0x2003,3,Max Mushroom,1,1,0,448,120,88,1
304,116,278,bloc ?,1,equipement,0x403F,63,Budget Charm,1,1,0,496,120,88,1
305,117,274,haricot,0,consommable,0x2015,21,Special Bean,2,2,0,72,352,0,1
306,117,275,haricot,0,consommable,0x2014,20,Heart Bean,3,3,0,104,352,0,1
307,118,107,bloc ?,1,consommable,0x2008,8,Super Nut,1,1,0,418,262,64,1
308,118,108,bloc ?,1,pieces,0xFFFE,,pieces,50,10,1,462,262,64,1
309,118,231,haricot,0,consommable,0x2014,20,Heart Bean,0,0,0,48,177,64,1
310,118,232,haricot,0,consommable,0x2015,21,Special Bean,1,1,0,48,385,64,1
311,118,233,haricot,0,consommable,0x2014,20,Heart Bean,2,2,0,240,321,32,1
