item_brut,type_item_brut,type_item,id_item,string_id,nom
0x2015,2,consommable,21,51,Special Bean
0x2016,2,consommable,22,54,Power Bean
0x2017,2,consommable,23,63,Retry Clock
0x2018,2,consommable,24,60,DUMMY
0x2019,2,consommable,25,75,DUMMY
0x3000,3,badge,0,0,Mushroom Badge
0x3001,3,badge,1,3,Powerful Badge
0x3002,3,badge,2,6,Bonus Badge
0x3003,3,badge,3,9,Bro Badge
0x3004,3,badge,4,12,Good Badge
0x3005,3,badge,5,15,Great Badge
0x3006,3,badge,6,18,Excellent! Badge
0x3007,3,badge,7,21,Excellent!! Badge
0x4000,4,equipement,0,417,No gear
0x4001,4,equipement,1,0,Thin Wear
0x4002,4,equipement,2,3,Picnic Wear
0x4003,4,equipement,3,6,Leisure Wear
0x4004,4,equipement,4,9,Fighter Wear
0x4005,4,equipement,5,12,Heart Wear
0x4006,4,equipement,6,15,Brawny Wear
0x4007,4,equipement,7,18,Grown-up Wear
0x4008,4,equipement,8,21,Koopa Wear
0x4009,4,equipement,9,24,Hero Wear
0x400A,4,equipement,10,27,Balm Wear
0x400B,4,equipement,11,30,Muscle Wear
0x400C,4,equipement,12,33,Master Wear
0x400D,4,equipement,13,36,King Wear
0x400E,4,equipement,14,39,Star Wear
0x400F,4,equipement,15,42,D-Star Wear
0x4010,4,equipement,16,45,A-OK Wear
0x4011,4,equipement,17,48,Rental Wear
0x4012,4,equipement,18,51,HP Socks
0x4013,4,equipement,19,54,Deluxe HP Socks
0x4014,4,equipement,20,57,SP Socks
0x4015,4,equipement,21,60,DX SP Socks
0x4016,4,equipement,22,63,Hustle Socks
0x4017,4,equipement,23,66,Coin Socks
0x4018,4,equipement,24,69,Starched Socks
0x4019,4,equipement,25,72,Gumption Socks
0x401A,4,equipement,26,75,Bro Socks
0x401B,4,equipement,27,78,Gall Socks
0x401C,4,equipement,28,81,Rugged Socks
0x401D,4,equipement,29,84,EXP Socks
0x401E,4,equipement,30,87,No-touch Socks
0x401F,4,equipement,31,90,Nurse Socks
0x4020,4,equipement,32,93,Doctor Socks
0x4021,4,equipement,33,96,Special Socks
0x4022,4,equipement,34,99,Surprising Socks
0x4023,4,equipement,35,102,Guardian Socks
0x4024,4,equipement,36,105,POW Gloves
0x4025,4,equipement,37,108,DX POW Gloves
0x4026,4,equipement,38,111,Mushroom Gloves
0x4027,4,equipement,39,114,Special Gloves
0x4028,4,equipement,40,117,Heavy Gloves
0x4029,4,equipement,41,120,Delicious Gloves
0x402A,4,equipement,42,123,Flower Gloves
0x402B,4,equipement,43,126,Bye-Bye Gloves
0x402C,4,equipement,44,129,Softener Gloves
0x402D,4,equipement,45,132,Item Gloves
0x402E,4,equipement,46,135,Siphon Gloves
0x402F,4,equipement,47,138,Dent Gloves
0x4030,4,equipement,48,141,POW Boots
0x4031,4,equipement,49,144,DX POW Boots
0x4032,4,equipement,50,147,Tip-Top Boots
0x4033,4,equipement,51,150,Special Boots
0x4034,4,equipement,52,153,Heavy Boots
0x4035,4,equipement,53,156,Daredevil Boots
0x4036,4,equipement,54,159,Shell Boots
0x4037,4,equipement,55,162,Dizzy Boots
0x4038,4,equipement,56,165,Shroob Boots
0x4039,4,equipement,57,168,Coin Boots
0x403A,4,equipement,58,171,Siphon Boots
0x403B,4,equipement,59,174,Big Stomp Boots
0x403C,4,equipement,60,177,Happy Charm
0x403D,4,equipement,61,180,Luck Charm
0x403E,4,equipement,62,183,Thrift Charm
0x403F,4,equipement,63,186,Budget Charm
0x4040,4,equipement,64,189,Tight Belt
0x4041,4,equipement,65,192,Advice Patch
0x4042,4,equipement,66,195,Luxury Patch
0x4043,4,equipement,67,198,Heroic Patch
0x4044,4,equipement,68,201,Small Shell
0x4045,4,equipement,69,204,Big Shell
0x4046,4,equipement,70,207,Giant Shell
0x4047,4,equipement,71,210,KO Shell
0x4048,4,equipement,72,213,Gold Ring
0x4049,4,equipement,73,216,Gold Crown
0x404A,4,equipement,74,219,Lazy Scarf
0x404B,4,equipement,75,222,Mushroom Stone
0x404C,4,equipement,76,225,POW Mush Jam
0x404D,4,equipement,77,228,DEF Mush Jam
0x404E,4,equipement,78,231,Treasure Specs
0x404F,4,equipement,79,234,Vengeance Cape
0x4050,4,equipement,80,237,Challenge Medal
0x4051,4,equipement,81,258,Shabby Shell
0x4052,4,equipement,82,261,Special Shell
0x4053,4,equipement,83,264,Safety Shell
0x4054,4,equipement,84,267,Judge Shell
0x4055,4,equipement,85,270,Rock Shell
0x4056,4,equipement,86,273,Armored Shell
0x4057,4,equipement,87,276,Rampage Shell
0x4058,4,equipement,88,279,Dream Shell
0x4059,4,equipement,89,282,Wicked Shell
0x405A,4,equipement,90,285,Ironclad Shell
0x405B,4,equipement,91,399,Block Ring
0x405C,4,equipement,92,291,King Shell
0x405D,4,equipement,93,294,Power Band
0x405E,4,equipement,94,297,Power Band +
0x405F,4,equipement,95,300,Minion Band
0x4060,4,equipement,96,303,Minion Band SP
0x4061,4,equipement,97,306,Iron Fist Band
0x4062,4,equipement,98,309,Vampire Band
0x4063,4,equipement,99,312,Stamina Band
0x4064,4,equipement,100,315,Hunter Band
0x4065,4,equipement,101,318,Lucky Band
0x4066,4,equipement,102,321,Block Band
0x4067,4,equipement,103,324,Fury Band
0x4068,4,equipement,104,327,Power Fangs
0x4069,4,equipement,105,330,Power Fangs X
0x406A,4,equipement,106,333,Special Fangs
0x406B,4,equipement,107,336,Special Fangs X
0x406C,4,equipement,108,339,Red-hot Fangs
0x406D,4,equipement,109,342,Burning Fangs
0x406E,4,equipement,110,345,Fury Fangs
0x406F,4,equipement,111,348,Bone Fangs
0x4070,4,equipement,112,351,Intruder Fangs
0x4071,4,equipement,113,354,Block Fangs
0x4072,4,equipement,114,357,Flashy Fangs
0x4073,4,equipement,115,360,Cheap Ring
0x4074,4,equipement,116,363,Economy Ring
0x4075,4,equipement,117,366,Heroic Ring
0x4076,4,equipement,118,369,Glutton Ring
0x4077,4,equipement,119,372,Excellent Ring
0x4078,4,equipement,120,375,Drumstick Ring
0x4079,4,equipement,121,378,Peace Ring
0x407A,4,equipement,122,381,Fill-up Ring
0x407B,4,equipement,123,384,Restore Ring
0x407C,4,equipement,124,387,Fast Cash Ring
0x407D,4,equipement,125,390,Treasure Ring
0x407E,4,equipement,126,393,Safety Ring
0x407F,4,equipement,127,396,Hard Ring
0x4080,4,equipement,128,288,Rental Shell
