attaque,piece,nb_pieces,pieces,variable,rang_bit,salle,var_pieces,var_attaque,item_brut,lot
Mighty Meteor,1,1,1,0xE7C5,1989,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x600D,0x2018,0x1005,Clinic Pieces
Mighty Meteor,2,1,2,0xE7C6,1990,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x600D,0x2018,0x1005,Clinic Pieces
Mighty Meteor,3,1,3,0xE7C7,1991,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x600D,0x2018,0x1005,Clinic Pieces
Mighty Meteor,4,1,4,0xE7C8,1992,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x600D,0x2018,0x1005,Clinic Pieces
Mighty Meteor,5,1,5,0xE7C9,1993,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x600D,0x2018,0x1005,Clinic Pieces
Mighty Meteor,6,1,6,0xE7CA,1994,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x600D,0x2018,0x1005,Clinic Pieces
Mighty Meteor,7,1,7,0xE7CB,1995,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x600D,0x2018,0x1005,Clinic Pieces
Mighty Meteor,8,1,8,0xE7CC,1996,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x600D,0x2018,0x1005,Clinic Pieces
Mighty Meteor,9,1,9,0xE7CD,1997,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x600D,0x2018,0x1005,Clinic Pieces
Spin Pipe,0,1,0,0xE76C,1900,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6003,0x2011,0x1006,Plack Pieces
Spin Pipe,1,1,1,0xE76D,1901,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6003,0x2011,0x1006,Plack Pieces
Spin Pipe,2,1,2,0xE76E,1902,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6003,0x2011,0x1006,Plack Pieces
Spin Pipe,3,1,3,0xE76F,1903,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6003,0x2011,0x1006,Plack Pieces
Spin Pipe,4,1,4,0xE770,1904,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6003,0x2011,0x1006,Plack Pieces
Spin Pipe,5,1,5,0xE771,1905,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6003,0x2011,0x1006,Plack Pieces
Spin Pipe,6,1,6,0xE772,1906,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6003,0x2011,0x1006,Plack Pieces
Spin Pipe,7,1,7,0xE773,1907,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6003,0x2011,0x1006,Plack Pieces
Spin Pipe,8,1,8,0xE774,1908,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6003,0x2011,0x1006,Plack Pieces
Spin Pipe,9,1,9,0xE775,1909,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6003,0x2011,0x1006,Plack Pieces
Snack Basket,0,1,0,0xE7FE,2046,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6012,0x201A,0x1007,Dimble Pieces
Snack Basket,1,1,1,0xE7FF,2047,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6012,0x201A,0x1007,Dimble Pieces
Snack Basket,2,1,2,0xE800,2048,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6012,0x201A,0x1007,Dimble Pieces
Snack Basket,3,1,3,0xE801,2049,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6012,0x201A,0x1007,Dimble Pieces
Snack Basket,4,1,4,0xE802,2050,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6012,0x201A,0x1007,Dimble Pieces
Snack Basket,5,1,5,0xE803,2051,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6012,0x201A,0x1007,Dimble Pieces
Snack Basket,6,1,6,0xE804,2052,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6012,0x201A,0x1007,Dimble Pieces
Snack Basket,7,1,7,0xE805,2053,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6012,0x201A,0x1007,Dimble Pieces
Snack Basket,8,1,8,0xE806,2054,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6012,0x201A,0x1007,Dimble Pieces
Snack Basket,9,1,9,0xE807,2055,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6012,0x201A,0x1007,Dimble Pieces
Magic Window,0,1,0,0xE818,2072,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6018,0x201B,0x1008,Castle Pieces
Magic Window,1,1,1,0xE819,2073,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6018,0x201B,0x1008,Castle Pieces
Magic Window,2,1,2,0xE81A,2074,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6018,0x201B,0x1008,Castle Pieces
Magic Window,3,1,3,0xE81B,2075,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6018,0x201B,0x1008,Castle Pieces
Magic Window,4,1,4,0xE81C,2076,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6018,0x201B,0x1008,Castle Pieces
Magic Window,5,1,5,0xE81D,2077,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6018,0x201B,0x1008,Castle Pieces
Magic Window,6,1,6,0xE81E,2078,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6018,0x201B,0x1008,Castle Pieces
Magic Window,7,1,7,0xE81F,2079,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6018,0x201B,0x1008,Castle Pieces
Magic Window,8,1,8,0xE820,2080,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6018,0x201B,0x1008,Castle Pieces
Magic Window,9,1,9,0xE821,2081,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6018,0x201B,0x1008,Castle Pieces
Falling Star,0,1,0,0xE80E,2062,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6015,0x2013,0x1010,Peach Pieces
Falling Star,1,1,1,0xE80F,2063,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6015,0x2013,0x1010,Peach Pieces
Falling Star,2,1,2,0xE810,2064,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6015,0x2013,0x1010,Peach Pieces
Falling Star,3,1,3,0xE811,2065,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6015,0x2013,0x1010,Peach Pieces
Falling Star,4,1,4,0xE812,2066,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6015,0x2013,0x1010,Peach Pieces
Falling Star,5,1,5,0xE813,2067,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6015,0x2013,0x1010,Peach Pieces
Falling Star,6,1,6,0xE814,2068,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6015,0x2013,0x1010,Peach Pieces
Falling Star,7,1,7,0xE815,2069,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6015,0x2013,0x1010,Peach Pieces
Falling Star,8,1,8,0xE816,2070,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6015,0x2013,0x1010,Peach Pieces
Falling Star,9,1,9,0xE817,2071,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x6015,0x2013,0x1010,Peach Pieces
