carte,select_map,index_zone,zone,tresor_debut,tresor_fin,nb_tresors,musique
475,608,1,Peach's Castle,535,537,2,56
476,608,1,Peach's Castle,537,540,3,56
482,613,1,Peach's Castle,607,611,4,68
483,613,1,Peach's Castle,618,623,5,68
484,613,1,Peach's Castle,630,632,2,68
486,613,1,Peach's Castle,623,627,4,68
490,613,1,Peach's Castle,617,618,1,68
491,613,1,Peach's Castle,627,630,3,68
497,615,24,Airway,505,508,3,0
498,615,24,Airway,508,512,4,0
499,615,24,Airway,512,515,3,0
501,615,24,Airway,521,526,5,0
502,615,24,Airway,526,529,3,0
503,615,24,Airway,515,521,6,0
504,615,24,Airway,529,533,4,0
510,612,12,Trash Pit,662,664,2,0
515,612,12,Trash Pit,664,666,2,0
516,612,12,Trash Pit,666,668,2,0
517,612,12,Trash Pit,668,669,1,0
523,611,3,Cavi Cape,637,638,1,66
525,611,3,Cavi Cape,653,654,1,66
529,612,12,Trash Pit,669,670,1,0
530,612,12,Trash Pit,670,671,1,0
533,612,12,Trash Pit,671,673,2,0
534,640,1,Peach's Castle,657,661,4,71
535,640,1,Peach's Castle,661,662,1,71
566,614,1,Peach's Castle,673,677,4,56
568,614,1,Peach's Castle,677,679,2,56
569,614,1,Peach's Castle,681,685,4,56
571,614,1,Peach's Castle,679,681,2,56
575,608,1,Peach's Castle,540,543,3,56
576,608,1,Peach's Castle,543,545,2,56
577,608,1,Peach's Castle,545,546,1,56
579,608,1,Peach's Castle,546,549,3,56
580,608,1,Peach's Castle,549,556,7,56
581,608,1,Peach's Castle,556,558,2,56
582,608,1,Peach's Castle,558,559,1,56
635,611,3,Cavi Cape,636,637,1,66
653,493,2,Dimble Wood,78,82,4,51
664,608,1,Peach's Castle,543,545,2,56
666,320,11,Bumpsy Plains,214,218,4,72
